🛰️电视直播,#genre#
CCTV1,http://223.241.247.214:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV2,http://223.241.247.214:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3,http://223.241.247.214:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4,http://223.241.247.214:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV5,http://223.241.247.214:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV6,http://223.241.247.214:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV7,http://223.241.247.214:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV8,http://223.241.247.214:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV9,http://223.241.247.214:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10,http://223.241.247.214:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV11,http://223.241.247.214:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12,http://223.241.247.214:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV13,http://223.241.247.214:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV14,http://223.241.247.214:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV15,http://223.241.247.214:9901/tsfile/live/0015_1.m3u8?key=txiptv
马鞍山公共,http://223.241.247.214:9901/tsfile/live/0017_1.m3u8?key=txiptv
马鞍山新闻,http://223.241.247.214:9901/tsfile/live/0018_1.m3u8?key=txiptv
安徽卫视,http://223.241.247.214:9901/tsfile/live/0019_1.m3u8?key=txiptv
安徽公共,http://223.241.247.214:9901/tsfile/live/1003_1.m3u8?key=txiptv
北京卫视,http://223.241.247.214:9901/tsfile/live/1004_1.m3u8?key=txiptv
东方卫视,http://223.241.247.214:9901/tsfile/live/1005_1.m3u8?key=txiptv
天津卫视,http://223.241.247.214:9901/tsfile/live/1006_1.m3u8?key=txiptv
重庆卫视,http://223.241.247.214:9901/tsfile/live/1007_1.m3u8?key=txiptv
江苏卫视,http://223.241.247.214:9901/tsfile/live/1008_1.m3u8?key=txiptv
湖南卫视,http://223.241.247.214:9901/tsfile/live/1009_1.m3u8?key=txiptv
浙江卫视,http://223.241.247.214:9901/tsfile/live/1010_1.m3u8?key=txiptv
黑龙江卫视,http://223.241.247.214:9901/tsfile/live/0143_1.m3u8?key=txiptv
吉林卫视,http://223.241.247.214:9901/tsfile/live/0116_1.m3u8?key=txiptv
辽宁卫视,http://223.241.247.214:9901/tsfile/live/0121_1.m3u8?key=txiptv
河南卫视,http://223.241.247.214:9901/tsfile/live/0139_1.m3u8?key=txiptv
山东卫视,http://223.241.247.214:9901/tsfile/live/0131_1.m3u8?key=txiptv
山西卫视,http://223.241.247.214:9901/tsfile/live/0118_1.m3u8?key=txiptv
陕西卫视,http://223.241.247.214:9901/tsfile/live/0136_1.m3u8?key=txiptv
宁夏卫视,http://223.241.247.214:9901/tsfile/live/0112_1.m3u8?key=txiptv
甘肃卫视,http://223.241.247.214:9901/tsfile/live/0141_1.m3u8?key=txiptv
湖北卫视,http://223.241.247.214:9901/tsfile/live/0132_1.m3u8?key=txiptv
贵州卫视,http://223.241.247.214:9901/tsfile/live/0120_1.m3u8?key=txiptv
四川卫视,http://223.241.247.214:9901/tsfile/live/0123_1.m3u8?key=txiptv
江西卫视,http://223.241.247.214:9901/tsfile/live/0138_1.m3u8?key=txiptv
东南卫视,http://223.241.247.214:9901/tsfile/live/0137_1.m3u8?key=txiptv
广东卫视,http://223.241.247.214:9901/tsfile/live/1011_1.m3u8?key=txiptv
深圳卫视,http://223.241.247.214:9901/tsfile/live/1012_1.m3u8?key=txiptv
广西卫视,http://223.241.247.214:9901/tsfile/live/0113_1.m3u8?key=txiptv
