
🛰️电视直播,#genre#
CCTV1,http://222.218.158.228:8181/tsfile/live/0001_1.m3u8
CCTV1,http://59.173.183.242:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://222.218.158.219:8181/tsfile/live/0001_1.m3u8
CCTV1,http://58.51.111.46:1111/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://222.169.85.8:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://223.241.247.214:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV2,http://59.173.183.242:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV1,http://202.100.46.58:9901/tsfile/live/1000_1.m3u8?key=txiptv
CCTV2,http://222.218.158.228:8181/tsfile/live/0002_1.m3u8
CCTV2,http://113.220.234.101:9999/tsfile/live/0018_1.m3u8?key=txiptv
CCTV2,http://222.218.158.219:8181/tsfile/live/0002_1.m3u8
CCTV2,http://58.51.111.46:1111/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://222.218.158.198:8181/tsfile/live/0002_1.m3u8
CCTV2,http://223.241.247.214:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://202.100.46.58:9901/tsfile/live/1001_1.m3u8?key=txiptv
CCTV2,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3,http://113.220.234.101:9999/tsfile/live/0019_1.m3u8?key=txiptv
CCTV3,http://222.218.158.228:8181/tsfile/live/0003_1.m3u8
CCTV3,http://59.173.183.242:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://58.51.111.46:1111/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://223.241.247.214:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://202.100.46.58:9901/tsfile/live/1002_1.m3u8?key=txiptv
CCTV4,http://59.173.183.242:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://222.218.158.219:8181/tsfile/live/0004_1.m3u8
CCTV4,http://222.218.158.228:8181/tsfile/live/0004_1.m3u8
CCTV4,http://58.51.111.46:1111/tsfile/live/1004_1.m3u8?key=txiptv
CCTV4,http://222.218.158.198:8181/tsfile/live/0004_1.m3u8
CCTV4,http://202.100.46.58:9901/tsfile/live/1003_1.m3u8?key=txiptv
CCTV4,http://223.241.247.214:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV5,http://222.218.158.228:8181/tsfile/live/0005_1.m3u8
CCTV5,http://59.173.183.242:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://113.220.234.101:9999/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://222.218.158.219:8181/tsfile/live/0005_1.m3u8
CCTV5,http://222.218.158.198:8181/tsfile/live/0005_1.m3u8
CCTV5,http://58.51.111.46:1111/tsfile/live/1005_1.m3u8?key=txiptv
CCTV5,http://202.100.46.58:9901/tsfile/live/1004_1.m3u8?key=txiptv
CCTV5,http://223.241.247.214:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5+,http://59.173.183.242:9901/tsfile/live/0018_1.m3u8?key=txiptv
CCTV5+,http://222.218.158.228:8181/tsfile/live/0016_1.m3u8
CCTV5+,http://222.218.158.219:8181/tsfile/live/0016_1.m3u8
CCTV5+,http://58.51.111.46:1111/tsfile/live/1021_1.m3u8?key=txiptv
CCTV5+,http://58.221.214.82:9901/tsfile/live/0016_1.m3u8
CCTV6,http://59.173.183.242:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://58.51.111.46:1111/tsfile/live/1006_1.m3u8?key=txiptv
CCTV6,http://113.220.234.101:9999/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://222.218.158.228:8181/tsfile/live/0006_1.m3u8
CCTV6,http://202.100.46.58:9901/tsfile/live/1005_1.m3u8?key=txiptv
CCTV6,http://223.241.247.214:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://222.169.85.8:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV7,http://59.173.183.242:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV7,http://113.220.234.101:9999/tsfile/live/0007_1.m3u8?key=txiptv
CCTV7,http://222.218.158.228:8181/tsfile/live/0007_1.m3u8
CCTV7,http://58.51.111.46:1111/tsfile/live/1007_1.m3u8?key=txiptv
CCTV7,http://222.218.158.198:8181/tsfile/live/0007_1.m3u8
CCTV7,http://222.218.158.219:8181/tsfile/live/0007_1.m3u8
CCTV7,http://223.241.247.214:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV7,http://202.100.46.58:9901/tsfile/live/1006_1.m3u8?key=txiptv
CCTV8,http://59.173.183.242:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV8,http://113.220.234.101:9999/tsfile/live/0008_1.m3u8?key=txiptv
CCTV8,http://222.218.158.198:8181/tsfile/live/0008_1.m3u8
CCTV8,http://222.218.158.228:8181/tsfile/live/0008_1.m3u8
CCTV8,http://58.51.111.46:1111/tsfile/live/1008_1.m3u8?key=txiptv
CCTV8,http://202.100.46.58:9901/tsfile/live/1007_1.m3u8?key=txiptv
CCTV8,http://223.241.247.214:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV8,http://222.169.85.8:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV9,http://113.220.234.101:9999/tsfile/live/0009_1.m3u8?key=txiptv
CCTV9,http://59.173.183.242:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV9,http://58.51.111.46:1111/tsfile/live/1009_1.m3u8?key=txiptv
CCTV9,http://222.218.158.228:8181/tsfile/live/0009_1.m3u8
CCTV9,http://222.218.158.219:8181/tsfile/live/0009_1.m3u8
CCTV9,http://222.218.158.198:8181/tsfile/live/0009_1.m3u8
CCTV9,http://222.169.85.8:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV9,http://223.241.247.214:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV9,http://202.100.46.58:9901/tsfile/live/1008_1.m3u8?key=txiptv
CCTV10,http://113.220.234.101:9999/tsfile/live/0010_1.m3u8?key=txiptv
CCTV10,http://222.218.158.228:8181/tsfile/live/0010_1.m3u8
CCTV10,http://222.218.158.219:8181/tsfile/live/0010_1.m3u8
CCTV10,http://59.173.183.242:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV10,http://222.218.158.198:8181/tsfile/live/0010_1.m3u8
CCTV10,http://58.51.111.46:1111/tsfile/live/1010_1.m3u8?key=txiptv
CCTV10,http://223.241.247.214:9901/tsfile/live/0010_1.m3u8
CCTV10,http://202.100.46.58:9901/tsfile/live/1009_1.m3u8?key=txiptv
CCTV10,http://223.241.247.214:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV10,http://222.169.85.8:9901/tsfile/live/0010_1.m3u8?key=txiptv
