🛰️电视直播,#genre#
CCTV1,http://58.221.214.82:9901/tsfile/live/0001_1.m3u8
CCTV1,http://124.231.213.32:9999/tsfile/live/0001_1.m3u8
CCTV2,http://124.231.213.31:9999/tsfile/live/0002_1.m3u8
CCTV2,http://124.227.112.111:9901/tsfile/live/0002_1.m3u8
CCTV2,http://58.221.214.82:9901/tsfile/live/0002_1.m3u8
CCTV2,http://124.231.213.32:9999/tsfile/live/0002_1.m3u8
CCTV3,http://124.231.213.32:9999/tsfile/live/0003_1.m3u8
CCTV3,http://124.231.213.31:9999/tsfile/live/0003_1.m3u8
CCTV3,http://58.221.214.82:9901/tsfile/live/0003_1.m3u8
CCTV4,http://124.231.213.32:9999/tsfile/live/0004_1.m3u8
CCTV4,http://183.3.134.56:9901/tsfile/live/0004_1.m3u8
CCTV4,http://58.221.214.82:9901/tsfile/live/0004_1.m3u8
CCTV5,http://124.231.213.32:9999/tsfile/live/0005_1.m3u8
CCTV5,http://124.231.213.31:9999/tsfile/live/0005_1.m3u8
CCTV5,http://58.221.214.82:9901/tsfile/live/0005_1.m3u8
CCTV5,http://202.100.46.58:9901/tsfile/live/1004_1.m3u8
CCTV5,http://58.216.229.130:9901/tsfile/live/0005_1.m3u8
CCTV5+,http://124.231.213.31:9999/tsfile/live/1114_1.m3u8
CCTV5+,http://58.221.214.82:9901/tsfile/live/0016_1.m3u8
CCTV5+,http://124.231.213.32:9999/tsfile/live/1114_1.m3u8
CCTV6,http://58.221.214.82:9901/tsfile/live/0006_1.m3u8
CCTV6,http://111.9.163.109:9901/tsfile/live/0006_1.m3u8
CCTV7,http://124.231.213.32:9999/tsfile/live/0007_1.m3u8
CCTV7,http://202.100.46.58:9901/tsfile/live/1006_1.m3u8
CCTV8,http://58.221.214.82:9901/tsfile/live/0008_1.m3u8
CCTV8,http://111.9.163.109:9901/tsfile/live/0008_1.m3u8
CCTV9,http://124.227.112.111:9901/tsfile/live/0010_1.m3u8
CCTV9,http://58.221.214.82:9901/tsfile/live/0009_1.m3u8
CCTV9,http://124.231.213.32:9999/tsfile/live/0009_1.m3u8
CCTV10,http://124.231.213.31:9999/tsfile/live/0010_1.m3u8
CCTV10,http://124.231.213.32:9999/tsfile/live/0010_1.m3u8
CCTV10,http://58.221.214.82:9901/tsfile/live/0010_1.m3u8
CCTV10,http://124.227.112.111:9901/tsfile/live/0011_1.m3u8
CCTV10,http://124.227.115.199:9901/tsfile/live/0011_1.m3u8
CCTV10,http://58.216.229.130:9901/tsfile/live/0010_1.m3u8
CCTV11,http://124.231.213.31:9999/tsfile/live/0011_1.m3u8
CCTV11,http://124.227.112.111:9901/tsfile/live/0012_1.m3u8
CCTV11,http://58.221.214.82:9901/tsfile/live/0011_1.m3u8
CCTV11,http://124.231.213.32:9999/tsfile/live/0011_1.m3u8
CCTV11,http://58.48.37.158:1111/tsfile/live/0011_1.m3u8
CCTV12,http://183.3.134.56:9901/tsfile/live/0012_1.m3u8
CCTV12,http://58.221.214.82:9901/tsfile/live/0012_1.m3u8
CCTV12,http://58.48.37.158:1111/tsfile/live/0012_1.m3u8
CCTV13,http://124.231.213.31:9999/tsfile/live/0013_1.m3u8
CCTV13,http://58.221.214.82:9901/tsfile/live/0013_1.m3u8
CCTV13,http://58.48.37.158:1111/tsfile/live/0013_1.m3u8
CCTV14,http://58.48.37.158:1111/tsfile/live/0014_1.m3u8
CCTV14,http://124.231.213.32:9999/tsfile/live/0014_1.m3u8
CCTV14,http://58.221.214.82:9901/tsfile/live/0014_1.m3u8
CCTV15,http://58.221.214.82:9901/tsfile/live/0015_1.m3u8
CCTV15,http://58.48.37.158:1111/tsfile/live/0015_1.m3u8
CCTV15,http://124.231.213.32:9999/tsfile/live/0015_1.m3u8
CCTV15,http://202.100.46.58:9901/tsfile/live/1015_1.m3u8
CCTV16,http://124.231.213.32:9999/tsfile/live/1084_1.m3u8
CCTV16,http://124.231.213.31:9999/tsfile/live/1084_1.m3u8
CCTV16,http://58.221.214.82:9901/tsfile/live/0002_2.m3u8
CCTV16,http://202.100.46.58:9901/tsfile/live/1016_1.m3u8
CCTV17,http://58.221.214.82:9901/tsfile/live/0003_2.m3u8
CCTV17,http://124.231.213.32:9999/tsfile/live/0019_1.m3u8
CCTVNEWS,http://183.3.134.56:9901/tsfile/live/0016_1.m3u8
上海卫视,http://58.221.214.82:9901/tsfile/live/0107_1.m3u8
上海卫视,http://124.227.112.116:9901/tsfile/live/0112_1.m3u8
上海卫视,http://124.227.112.112:9901/tsfile/live/0112_1.m3u8
东南卫视,http://124.231.213.31:9999/tsfile/live/0137_1.m3u8
东南卫视,http://223.241.247.214:9901/tsfile/live/0137_1.m3u8
东南卫视,http://124.231.213.32:9999/tsfile/live/0137_1.m3u8
东南卫视,http://58.221.214.82:9901/tsfile/live/0137_1.m3u8
云南卫视,http://124.231.213.32:9999/tsfile/live/0119_1.m3u8
云南卫视,http://202.100.46.58:9901/tsfile/live/1039_1.m3u8
兵团卫视,http://124.231.213.31:9999/tsfile/live/0115_1.m3u8
兵团卫视,http://124.231.213.32:9999/tsfile/live/0115_1.m3u8
内蒙古卫视,http://124.231.213.32:9999/tsfile/live/0109_1.m3u8
内蒙古卫视,http://124.231.213.31:9999/tsfile/live/0109_1.m3u8
内蒙古卫视,http://183.3.134.56:9901/tsfile/live/0109_1.m3u8
北京卫视,http://58.221.214.82:9901/tsfile/live/0122_1.m3u8
北京卫视,http://124.231.213.32:9999/tsfile/live/0122_1.m3u8
北京卫视,http://124.227.112.113:9901/tsfile/live/0122_2.m3u8
北京卫视,http://124.227.112.112:9901/tsfile/live/0122_2.m3u8
厦门卫视,http://202.100.46.58:9901/tsfile/live/1040_1.m3u8
吉林卫视,http://58.221.214.82:9901/tsfile/live/0116_1.m3u8
吉林卫视,http://58.220.219.14:9901/tsfile/live/0116_1.m3u8
四川卫视,http://124.231.213.32:9999/tsfile/live/0123_1.m3u8
四川卫视,http://124.227.112.113:9901/tsfile/live/0139_1.m3u8
四川卫视,http://124.231.213.31:9999/tsfile/live/0123_1.m3u8
四川卫视,http://58.221.214.82:9901/tsfile/live/0123_1.m3u8
四川卫视,http://202.100.46.58:9901/tsfile/live/1027_1.m3u8
天津卫视,http://124.231.213.32:9999/tsfile/live/0135_1.m3u8
天津卫视,http://58.221.214.82:9901/tsfile/live/0135_1.m3u8
天津卫视,http://223.241.247.214:9901/tsfile/live/1006_1.m3u8
天津卫视,http://202.100.46.58:9901/tsfile/live/1030_1.m3u8
宁夏卫视,http://124.231.213.31:9999/tsfile/live/0112_1.m3u8
宁夏卫视,http://124.231.213.32:9999/tsfile/live/0112_1.m3u8
宁夏卫视,http://202.100.46.58:9901/tsfile/live/1036_1.m3u8
宁夏卫视,http://223.241.247.214:9901/tsfile/live/0112_1.m3u8
安徽卫视,http://124.231.213.31:9999/tsfile/live/0130_1.m3u8
安徽卫视,http://58.221.214.82:9901/tsfile/live/0130_1.m3u8
安徽卫视,http://124.231.213.32:9999/tsfile/live/0130_1.m3u8
安徽卫视,http://124.227.112.112:9901/tsfile/live/0130_1.m3u8
安徽卫视,http://124.227.115.199:9901/tsfile/live/0130_1.m3u8
山东卫视,http://58.221.214.82:9901/tsfile/live/0131_1.m3u8
山东卫视,http://202.100.46.58:9901/tsfile/live/1026_1.m3u8
山东卫视,http://58.220.219.14:9901/tsfile/live/0131_1.m3u8
山东卫视,http://58.216.229.130:9901/tsfile/live/0131_1.m3u8
山西卫视,http://124.231.213.32:9999/tsfile/live/0118_1.m3u8
山西卫视,http://58.221.214.82:9901/tsfile/live/0017_1.m3u8
山西卫视,http://124.227.112.112:9901/tsfile/live/0135_1.m3u8
山西卫视,http://58.216.229.130:9901/tsfile/live/0118_1.m3u8
广东卫视,http://124.227.112.113:9901/tsfile/live/0125_1.m3u8
广东卫视,http://58.221.214.82:9901/tsfile/live/0125_1.m3u8
广东卫视,http://124.227.112.112:9901/tsfile/live/0125_2.m3u8
广东卫视,http://223.241.247.214:9901/tsfile/live/1011_1.m3u8
广西卫视,http://124.231.213.31:9999/tsfile/live/0113_1.m3u8
广西卫视,http://223.241.247.214:9901/tsfile/live/0113_1.m3u8
广西卫视,http://58.221.214.82:9901/tsfile/live/0113_1.m3u8
广西卫视,http://124.231.213.32:9999/tsfile/live/0113_1.m3u8
广西卫视,http://183.3.134.56:9901/tsfile/live/0113_1.m3u8
新疆卫视,http://124.231.213.31:9999/tsfile/live/0110_1.m3u8
新疆卫视,http://124.231.213.32:9999/tsfile/live/0110_1.m3u8
旅游卫视,http://124.231.213.31:9999/tsfile/live/0114_1.m3u8
旅游卫视,http://124.231.213.32:9999/tsfile/live/0114_1.m3u8
江苏卫视,http://58.221.214.82:9901/tsfile/live/0127_1.m3u8
江西卫视,http://124.231.213.31:9999/tsfile/live/0138_1.m3u8
江西卫视,http://124.227.112.115:9901/tsfile/live/0138_1.m3u8
江西卫视,http://124.231.213.32:9999/tsfile/live/0138_1.m3u8
江西卫视,http://58.221.214.82:9901/tsfile/live/0138_1.m3u8
江西卫视,http://124.227.112.112:9901/tsfile/live/0138_1.m3u8
江西卫视,http://58.220.219.14:9901/tsfile/live/0138_1.m3u8
河北卫视,http://124.231.213.31:9999/tsfile/live/0117_1.m3u8
河北卫视,http://124.227.112.116:9901/tsfile/live/0140_1.m3u8
河北卫视,http://183.66.15.146:60901/tsfile/live/0117_1.m3u8
河南卫视,http://124.227.112.112:9901/tsfile/live/0119_1.m3u8
河南卫视,http://58.221.214.82:9901/tsfile/live/0139_1.m3u8
河南卫视,http://202.100.46.58:9901/tsfile/live/1032_1.m3u8
浙江卫视,http://124.227.112.113:9901/tsfile/live/0124_1.m3u8
浙江卫视,http://58.221.214.82:9901/tsfile/live/0124_1.m3u8
海南卫视,http://58.221.214.82:9901/tsfile/live/0016_2.m3u8
深圳卫视,http://124.227.112.113:9901/tsfile/live/0116_1.m3u8
深圳卫视,http://124.231.213.32:9999/tsfile/live/0126_1.m3u8
深圳卫视,http://58.221.214.82:9901/tsfile/live/0126_1.m3u8
湖北卫视,http://124.231.213.31:9999/tsfile/live/0132_1.m3u8
湖北卫视,http://58.221.214.82:9901/tsfile/live/0132_1.m3u8
湖北卫视,http://58.48.37.158:1111/tsfile/live/0018_1.m3u8
湖南卫视,http://124.231.213.32:9999/tsfile/live/0128_1.m3u8
湖南卫视,http://58.221.214.82:9901/tsfile/live/0128_1.m3u8
湖南卫视,http://124.227.112.114:9901/tsfile/live/0128_1.m3u8
湖南卫视,http://124.227.112.112:9901/tsfile/live/0128_1.m3u8
湖南卫视,http://58.216.229.130:9901/tsfile/live/0128_1.m3u8
甘肃卫视,http://124.231.213.31:9999/tsfile/live/0141_1.m3u8
甘肃卫视,http://124.231.213.32:9999/tsfile/live/0141_1.m3u8
甘肃卫视,http://223.241.247.214:9901/tsfile/live/0141_1.m3u8
甘肃卫视,http://202.100.46.58:9901/tsfile/live/1035_1.m3u8
西藏卫视,http://124.231.213.31:9999/tsfile/live/0111_1.m3u8
西藏卫视,http://124.231.213.32:9999/tsfile/live/0111_1.m3u8
贵州卫视,http://124.231.213.32:9999/tsfile/live/0120_1.m3u8
贵州卫视,http://58.221.214.82:9901/tsfile/live/0120_1.m3u8
贵州卫视,http://223.241.247.214:9901/tsfile/live/0120_1.m3u8
辽宁卫视,http://58.221.214.82:9901/tsfile/live/0121_1.m3u8
辽宁卫视,http://124.231.213.32:9999/tsfile/live/0121_1.m3u8
辽宁卫视,http://58.216.229.130:9901/tsfile/live/0121_1.m3u8
辽宁卫视,http://202.100.46.58:9901/tsfile/live/1037_1.m3u8
辽宁卫视,http://58.220.219.14:9901/tsfile/live/0121_1.m3u8
重庆卫视,http://124.231.213.31:9999/tsfile/live/0142_1.m3u8
重庆卫视,http://124.231.213.32:9999/tsfile/live/0142_1.m3u8
重庆卫视,http://58.221.214.82:9901/tsfile/live/0142_1.m3u8
陕西卫视,http://124.231.213.31:9999/tsfile/live/0136_1.m3u8
陕西卫视,http://124.231.213.32:9999/tsfile/live/0136_1.m3u8
陕西卫视,http://223.241.247.214:9901/tsfile/live/0136_1.m3u8
陕西卫视,http://202.100.46.58:9901/tsfile/live/1017_1.m3u8
青海卫视,http://124.231.213.32:9999/tsfile/live/0140_1.m3u8
青海卫视,http://124.231.213.31:9999/tsfile/live/0140_1.m3u8
青海卫视,http://58.221.214.82:9901/tsfile/live/0018_1.m3u8
青海卫视,http://202.100.46.58:9901/tsfile/live/1038_1.m3u8
黑龙江卫视,http://124.231.213.32:9999/tsfile/live/0143_1.m3u8
黑龙江卫视,http://124.227.112.113:9901/tsfile/live/0143_1.m3u8
黑龙江卫视,http://124.227.112.112:9901/tsfile/live/0143_1.m3u8
黑龙江卫视,http://223.241.247.214:9901/tsfile/live/0143_1.m3u8
双峰综合,http://124.231.213.31:9999/tsfile/live/1087_1.m3u8
双峰综合,http://124.231.213.32:9999/tsfile/live/1087_1.m3u8
娄底公共,http://124.231.213.31:9999/tsfile/live/1089_1.m3u8
娄底公共,http://124.231.213.32:9999/tsfile/live/1089_1.m3u8
娄底教育,http://124.231.213.32:9999/tsfile/live/1090_1.m3u8
娄底教育,http://124.231.213.31:9999/tsfile/live/1090_1.m3u8
娄底综合,http://124.231.213.31:9999/tsfile/live/1088_1.m3u8
娄底综合,http://124.231.213.32:9999/tsfile/live/1088_1.m3u8
湖南娱乐,http://124.231.213.31:9999/tsfile/live/1096_1.m3u8
湖南导视,http://124.231.213.31:9999/tsfile/live/1085_1.m3u8
湖南导视,http://124.231.213.32:9999/tsfile/live/1085_1.m3u8
湖南教育,http://124.231.213.32:9999/tsfile/live/1086_1.m3u8
湖南教育,http://124.231.213.31:9999/tsfile/live/1086_1.m3u8
湖南爱晚,http://124.231.213.31:9999/tsfile/live/1097_1.m3u8
湖南爱晚,http://124.231.213.32:9999/tsfile/live/1097_1.m3u8
湖南电影,http://124.231.213.32:9999/tsfile/live/1093_1.m3u8
湖南电影,http://124.231.213.31:9999/tsfile/live/1093_1.m3u8
湖南电视剧,http://124.231.213.31:9999/tsfile/live/1094_1.m3u8
湖南电视剧,http://124.231.213.32:9999/tsfile/live/1094_1.m3u8
湖南经视,http://124.231.213.32:9999/tsfile/live/1091_1.m3u8
湖南经视,http://124.231.213.31:9999/tsfile/live/1091_1.m3u8
湖南都市,http://124.231.213.31:9999/tsfile/live/1092_1.m3u8
湖南都市,http://124.231.213.32:9999/tsfile/live/1092_1.m3u8
金鹰卡通,http://124.231.213.32:9999/tsfile/live/1101_1.m3u8
金鹰卡通,http://124.231.213.31:9999/tsfile/live/1101_1.m3u8
金鹰纪实,http://124.231.213.32:9999/tsfile/live/1095_1.m3u8
金鹰纪实,http://124.231.213.31:9999/tsfile/live/1095_1.m3u8
CGTN,http://58.221.214.82:9901/tsfile/live/0001_2.m3u8
中华特产,http://124.231.213.31:9999/tsfile/live/1112_1.m3u8
